слово,десятилетие,соседи
strike,1800-е,"struck 0,74; unship 0,74; heaved 0,74; strikes 0,73; piteous 0,73; lustily 0,72; billows 0,72"
strike,1850-е,"strikes 0,81; struck 0,78; brandish 0,72; operatives 0,72; turnout 0,72; belabour 0,71; colliers 0,71"
strike,1890-е,"dispute 0,79; strikes 0,77; heavers 0,73; employers 0,72; struck 0,72; colliers 0,71; disputes 0,71"
strike,1910-е,"lockout 0,87; strikes 0,86; dispute 0,81; lockouts 0,76; coalminers 0,74; stoppage 0,74; lookouts 0,74"
union,1800-е,"lttle 0,63; indissoluble 0,62; massachusetts 0,61; incorporation 0,61; irrevocable 0,61; eunice 0,60; aider 0,60"
union,1840-е,"unions 0,65; tiding 0,60; guardians 0,59; workhouse 0,59; concord 0,58; workhouses 0,58; biding 0,57"
union,1870-е,"unions 0,74; amalgamation 0,74; alliance 0,68; angio 0,68; national 0,67; undera 0,67; organisation 0,67"
union,1910-е,"unions 0,76; federation 0,71; railwaymen 0,68; offloads 0,68; executives 0,67; steelworkers 0,66; associations 0,66"
operatives,1830-е,"weavers 0,75; artisans 0,72; journeymen 0,67; workmen 0,67; spinners 0,64; operative 0,63; labourers 0,62"
operatives,1860-е,"weavers 0,82; workmen 0,80; artisans 0,80; unemployed 0,78; workers 0,77; employers 0,76; colliers 0,75"
operatives,1890-е,"weavers 0,85; employers 0,84; workers 0,79; spinners 0,79; executives 0,77; employees 0,77; colliers 0,75"
