слово,группа,перелом
strike,целевая,1840s
union,целевая,нет
operatives,целевая,нет
mother,контрольная,нет
father,контрольная,нет
horse,контрольная,нет
bread,контрольная,нет
water,контрольная,нет
church,контрольная,нет
winter,контрольная,нет
morning,контрольная,нет
village,контрольная,нет
garden,контрольная,1870s
friend,контрольная,нет
dinner,контрольная,нет
hands,целевая,нет
combination,целевая,нет
plant,целевая,нет
line,целевая,нет
works,целевая,нет
mill,целевая,нет
traffic,целевая,1840s
capital,целевая,1850s
class,целевая,1840s
railway,целевая,1870s
locomotive,целевая,нет
telegraph,целевая,1870s
electricity,целевая,1880s
current,целевая,нет
motor,целевая,1890s
engine,целевая,нет
machinery,целевая,нет
boiler,целевая,нет
cylinder,целевая,нет
piston,целевая,нет
train,целевая,1840s
station,целевая,1840s
labourer,целевая,нет
workman,целевая,нет
mechanic,целевая,нет
weavers,целевая,нет
spinners,целевая,нет
colliers,целевая,нет
employers,целевая,нет
wages,целевая,1850s
manufacturers,целевая,нет
masters,целевая,нет
factory,целевая,нет
accident,целевая,нет
explosion,целевая,нет
system,целевая,нет
management,целевая,нет
discipline,целевая,нет
speed,целевая,нет
